No. Cuenta,Ap_P,Ap_M,Nombre,Edad,Correo,Semestre,MateriaA,MateriaB,MateriaC,MateriaD,MateriaE,Promedio
719991335,DOMINGUEZ,SILVA,JOSE,21,dominguezjose46@aragon.unam.mx,7,MINERIA DE DATOS,INGENIERIA DE SOFTWARE,INTELIGENCIA ARTIFICIAL,ALEGBRA LINEAL,PROGRAMACION WEB 1,5.37
522148768,ABUSH,TORTON,SERGIO,24,abushsergio43@aragon.unam.mx,3,CALCULO VECTORIAL,ADMINISTRACION DE PROYECTOS,BASES DE DATOS 1,EMPRENDMIENTO 1,MINERIA DE DATOS,8.53
888892406,ALVAREZ,IBARRA,ANGEL,46,alvarezangel73@aragon.unam.mx,3,EMPRENDMIENTO 1,OPTATIVA,COMUNICACION,PROGRAMACION WEB 1,OPTATIVA,8.14
701256225,CHEBARO,AGUILAR,MOHAMAD ABDUL,30,chebaromohamad abdul40@aragon.unam.mx,2,PROBABILIDAD Y ESTADISTICA,ESTRUCTURA DE DATOS,ALGEBRA,DISEÑO Y ANALISIS DE ALGORITMOS,OPTATIVA,5.32
413500138,COVARRUBIA,BLASQUEZ,JORGE,18,covarrubiajorge45@aragon.unam.mx,6,PROGRAMACION ORIENTADA A OBJETOS,EMPRENDIMIENTO 2,SISTEMAS DE INFORMACION,LENGUAJES FORMALES-AUTOMATAS,PROGRAMACION WEB 1,5.78
298379160,CUEVAS,MORENO,MARIA,20,cuevasma.59@aragon.unam.mx,3,ELECTRICIDAD Y MAGNETISMO,EMPRENDIMIENTO 2,REDES DE COMPUTADORAS 1,COMUNICACION,ALGEBRA,8.83
905347475,DURAN,DE HUERTA,VICTOR MANUEL,17,duranvictor manuel14@aragon.unam.mx,5,DISPOSITIVOS ELECTRONICOS,EMPRENDIMIENTO 3,REDES DE COMPUTADORAS 1,OPTATIVA,MINERIA DE DATOS,8.56
253148659,ESPINOSA,BARRERA,ARTURO,26,espinosaarturo8@aragon.unam.mx,2,METODOS NUMERICOS,OPTATIVA,OPTATIVA,EMPRENDIMIENTO 2,INGENIERIA DE SOFTWARE,6
790340524,GARCIA,FAYAT,KATTIA ARACELY,18,garciakattia aracely80@aragon.unam.mx,4,MICROPROCESAROR Y MICROCONTROLAD,COMPUTADORAS Y PROGRAMACION,OPTATIVA,EMPRENDMIENTO 1,ESTRUCTURA DE DATOS,8.99
862724244,GONZALEZ,CARBONELL,PABLO,18,gonzalezpablo91@aragon.unam.mx,4,PROBABILIDAD Y ESTADISTICA,EMPRENDIMIENTO 2,ADMINISTRACION DE PROYECTOS,MATEMATICAS DISCRETAS,OPTATIVA,6.85
642733678,GONZALEZ,LLAVEN,MATILDE,30,gonzalezmatilde42@aragon.unam.mx,7,DISPOSITIVOS ELECTRONICOS,ADMINISTRACION DE PROYECTOS,ESTRUCTURA DE DATOS,OPTATIVA,ALGEBRA,8.53
911867187,GRIJALVA,FERNANDEZ,NATALIA,27,grijalvanatalia86@aragon.unam.mx,4,COMPILADORES,PROBABILIDAD Y ESTADISTICA,INTROD A ALA INGENIER COMPUTACION,TALLER DE CREATIVIDAD E INNOVACION,DISEÑO LOGICO,7.34
927482359,GUTIERREZ,URIARTE,JULIETA,30,gutierrezjulieta78@aragon.unam.mx,1,EMPRENDMIENTO 1,INTROD A ALA INGENIER COMPUTACION,MICROPROCESAROR Y MICROCONTROLAD,PROGRAMACION WEB 2,OPTATIVA,5.95
182616018,HERNANDEZ,CORTES,FABIOLA,27,hernandezfabiola28@aragon.unam.mx,4,OPTATIVA,HABILIDADES DIRECTIVAS,OPTATIVA,EMPRENDMIENTO 1,OPTATIVA,8.74
976478746,HERNANDEZ,CRUZ,DANIEL,27,hernandezdaniel33@aragon.unam.mx,5,METODOS NUMERICOS,EMPRENDIMIENTO 2,OPTATIVA,DISEÑO Y ANALISIS DE ALGORITMOS,DISPOSITIVOS ELECTRONICOS,6.2
384639963,HERNANDEZ,SANDERS,PAULINA,27,hernandezpaulina53@aragon.unam.mx,6,DISEÑO Y ANALISIS DE ALGORITMOS,INTELIGENCIA ARTIFICIAL,ALGEBRA,CALCULO DIFERENCIAL E INTEGRAL,PROBABILIDAD Y ESTADISTICA,5.48
689745671,ISLAS,CARDENAS,MARGARITO,26,islasmargarito86@aragon.unam.mx,7,COMUNICACION,HABILIDADES DIRECTIVAS,EMPRENDIMIENTO 2,CALCULO VECTORIAL,OPTATIVA,9.82
532616662,IZAGUIRRE,FERNANDEZ,EDUARDO JOSE,29,izaguirreeduardo jose42@aragon.unam.mx,7,EMPRENDMIENTO 1,SISTEMAS OPERATIVOS,DISPOSITIVOS ELECTRONICOS,PROBABILIDAD Y ESTADISTICA,CALCULO DIFERENCIAL E INTEGRAL,8.21
958345526,JIMENEZ,PEÑA,AMERICA,24,jimenezamerica79@aragon.unam.mx,4,EMPRENDIMIENTO 3,COMPUTADORAS Y PROGRAMACION,PROGRAMACION WEB 2,EMPRENDIMIENTO 2,OPTATIVA,7.74
630870007,JUAREZ,RODRIGUEZ,JOEL,19,juarezjoel65@aragon.unam.mx,4,ESTRUCTURA DE DATOS,COMPUTADORAS Y PROGRAMACION,COMPUTADORAS Y PROGRAMACION,OPTATIVA,LENGUAJES FORMALES-AUTOMATAS,8.45
999122662,KRACER,WAISBURD,SANDRA,27,kracersandra34@aragon.unam.mx,3,CALCULO DIFERENCIAL E INTEGRAL,INGENIERIA DE SOFTWARE,ECUACIONES DIFERENCIALES,OPTATIVA,PROGRAMACION WEB 1,5.2
818388984,KROHN,HERNANDEZ,BIRGITTE,19,krohnbirgitte96@aragon.unam.mx,3,LENGUAJES FORMALES-AUTOMATAS,EMPRENDMIENTO 1,ESTRUCTURA DE DATOS,COMUNICACION,SISTEMAS DE INFORMACION,6.69
390960710,ZAMORA,GONZALEZ,LAURA,30,zamoralaura28@aragon.unam.mx,6,SISTEMAS OPERATIVOS,EMPRENDIMIENTO 3,REDES DE COMPUTADORAS 1,CALCULO VECTORIAL,MINERIA DE DATOS,7.85
292666684,LAURENT,PAVON,MARIA,27,laurentmaria6@aragon.unam.mx,1,EMPRENDIMIENTO 3,INTELIGENCIA ARTIFICIAL,ECUACIONES DIFERENCIALES,PROBABILIDAD Y ESTADISTICA,REDES DE COMPUTADORAS 2,7.17
232793084,LERSUNDI,JUAREZ,EMILIO,17,lersundiemilio52@aragon.unam.mx,9,OPTATIVA,DISEÑO LOGICO,EMPRENDIMIENTO 3,DISPOSITIVOS ELECTRONICOS,OPTATIVA,7.72
615645403,MALDONADO,GOMEZ,VIRIDIANA,29,maldonadoviridiana90@aragon.unam.mx,1,PROGRAMACION MOVIL 1,INTELIGENCIA ARTIFICIAL,PROGRAMACION ORIENTADA A OBJETOS,INGENIERIA DE SOFTWARE,PROGRAMACION ORIENTADA A OBJETOS,7.7
994291325,MARIN,JIMENEZ,JESUS,28,marinjesus6@aragon.unam.mx,3,INTROD A ALA INGENIER COMPUTACION,OPTATIVA,SEGURIDAD INFORMATICA,PROGRAMACION WEB 2,REDES DE COMPUTADORAS 1,9.9
619470930,MARTINEZ,GARCIA,ROMEL,23,martinezromel51@aragon.unam.mx,5,MICROPROCESAROR Y MICROCONTROLAD,MATEMATICAS DISCRETAS,COMPUTADORAS Y PROGRAMACION,OPTATIVA,REDES DE COMPUTADORAS 2,8.45
745142492,MICHAN,COHEN,BECKY,28,michanbecky22@aragon.unam.mx,7,DISEÑO LOGICO,COMPILADORES,OPTATIVA,PROGRAMACION MOVIL 1,OPTATIVA,7.86
